device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,data_value
1,2,1765278272,1765278272.7509778,0,0,21.6
1,3,1765278273,1765278273.7515733,0,0,27.1
1,4,1765278274,1765278274.743986,0,0,20.9
1,5,1765278275,1765278275.7456796,0,0,34.8
1,6,1765278276,1765278276.762136,0,0,27.3
1,8,1765278277,1765278277.750036,0,1,33.9
1,9,1765278278,1765278278.7452388,0,0,29.1
1,10,1765278279,1765278279.7624884,0,0,27.4
1,11,1765278280,1765278280.7649577,0,0,25.7
1,12,1765278281,1765278281.752274,0,0,26.1
1,14,1765278282,1765278282.764394,0,1,26.9
1,15,1765278283,1765278283.762826,0,0,22.0
1,16,1765278284,1765278284.7486625,0,0,20.7
1,17,1765278285,1765278285.7550576,0,0,21.5
1,18,1765278286,1765278286.7606225,0,0,20.3
1,20,1765278287,1765278287.761427,0,1,34.9
1,21,1765278288,1765278288.757788,0,0,20.5
1,22,1765278289,1765278289.7612731,0,0,24.3
1,23,1765278290,1765278290.750623,0,0,33.5
1,24,1765278291,1765278291.7672236,0,0,20.7
1,26,1765278292,1765278292.7559612,0,1,29.7
1,27,1765278293,1765278293.766057,0,0,34.4
1,28,1765278294,1765278294.7520928,0,0,21.3
1,29,1765278295,1765278295.7542453,0,0,26.4
1,30,1765278296,1765278296.754096,0,0,29.6
1,32,1765278297,1765278297.7680044,0,1,24.3
1,33,1765278298,1765278298.7529035,0,0,27.9
1,34,1765278299,1765278299.7683053,0,0,25.9
1,35,1765278300,1765278300.7725232,0,0,33.9
1,36,1765278301,1765278301.7636168,0,0,21.9
1,38,1765278302,1765278302.7736557,0,1,22.4
1,39,1765278303,1765278303.7664797,0,0,22.3
1,40,1765278304,1765278304.769773,0,0,20.5
1,41,1765278305,1765278305.7570198,0,0,34.6
1,42,1765278306,1765278306.7705436,0,0,21.6
1,44,1765278307,1765278307.7730951,0,1,31.9
1,45,1765278308,1765278308.7677631,0,0,28.7
1,46,1765278309,1765278309.7646787,0,0,23.0
1,47,1765278310,1765278310.7684164,0,0,33.0
1,48,1765278311,1765278311.759131,0,0,33.5
1,50,1765278312,1765278312.7743733,0,1,21.3
1,51,1765278313,1765278313.7702603,0,0,25.1
1,52,1765278314,1765278314.7675607,0,0,20.9
1,53,1765278315,1765278315.766541,0,0,21.2
1,54,1765278316,1765278316.7666967,0,0,30.9
1,56,1765278317,1765278317.7730875,0,1,24.7
1,57,1765278318,1765278318.7796235,0,0,21.6
1,58,1765278319,1765278319.7670264,0,0,20.7
1,59,1765278320,1765278320.7797923,0,0,25.8
1,60,1765278321,1765278321.7699044,0,0,31.0
1,62,1765278322,1765278322.7757397,0,1,26.2
1,63,1765278323,1765278323.7809815,0,0,32.8
1,64,1765278324,1765278324.7745597,0,0,28.4
1,65,1765278325,1765278325.7805862,0,0,23.0
1,66,1765278326,1765278326.77041,0,0,29.8
1,68,1765278327,1765278327.7768884,0,1,25.2
1,69,1765278328,1765278328.7794566,0,0,20.1
1,70,1765278329,1765278329.7826579,0,0,33.7
1,71,1765278330,1765278330.776595,0,0,23.1
