device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,data_value
1,2,1765277860,1765277860.7027392,0,0,24.8
1,3,1765277861,1765277861.7031968,0,0,20.2
1,4,1765277862,1765277862.703737,0,0,31.7
1,5,1765277863,1765277863.7040908,0,0,30.3
1,8,1765277865,1765277865.704817,0,1,32.9
1,9,1765277866,1765277866.7054486,0,0,29.8
1,10,1765277867,1765277867.7057714,0,0,33.0
1,11,1765277868,1765277868.7061374,0,0,34.8
1,12,1765277869,1765277869.7065172,0,0,20.2
1,14,1765277870,1765277870.7068315,0,1,28.0
1,15,1765277871,1765277871.707413,0,0,34.8
1,16,1765277872,1765277872.7076201,0,0,32.9
1,17,1765277873,1765277873.7081652,0,0,24.6
1,18,1765277874,1765277874.708456,0,0,23.6
1,20,1765277875,1765277875.7088163,0,1,31.3
1,21,1765277876,1765277876.709158,0,0,34.4
1,22,1765277877,1765277877.709484,0,0,29.0
1,23,1765277878,1765277878.7098148,0,0,23.3
1,24,1765277879,1765277879.710083,0,0,28.5
1,26,1765277880,1765277880.710996,0,1,25.7
1,27,1765277881,1765277881.7127454,0,0,30.1
1,28,1765277882,1765277882.7138424,0,0,23.7
1,29,1765277883,1765277883.7159297,0,0,34.3
1,32,1765277885,1765277885.718797,0,1,28.8
1,33,1765277886,1765277886.7195609,0,0,26.4
1,34,1765277887,1765277887.720617,0,0,26.4
1,35,1765277888,1765277888.7212968,0,0,22.5
1,36,1765277889,1765277889.722449,0,0,26.4
1,38,1765277890,1765277890.723086,0,1,34.6
1,39,1765277891,1765277891.723303,0,0,29.8
1,40,1765277892,1765277892.7239723,0,0,23.3
1,41,1765277893,1765277893.7243214,0,0,32.4
1,42,1765277894,1765277894.7246327,0,0,25.7
1,44,1765277895,1765277895.725182,0,1,20.5
1,45,1765277896,1765277896.7254722,0,0,27.4
1,46,1765277897,1765277897.7258291,0,0,28.7
1,47,1765277898,1765277898.7263463,0,0,22.3
1,48,1765277899,1765277899.7266428,0,0,23.0
1,50,1765277900,1765277900.7268848,0,1,33.9
1,51,1765277901,1765277901.7274573,0,0,28.6
1,52,1765277902,1765277902.7276523,0,0,32.0
1,53,1765277903,1765277903.7279615,0,0,25.9
1,54,1765277904,1765277904.7290933,0,0,31.5
1,56,1765277905,1765277905.7291276,0,1,22.7
1,57,1765277906,1765277906.7297273,0,0,22.3
1,58,1765277907,1765277907.7300174,0,0,31.4
1,59,1765277908,1765277908.7303295,0,0,21.2
1,60,1765277909,1765277909.7307856,0,0,25.8
1,62,1765277910,1765277910.7311115,0,1,34.3
1,63,1765277911,1765277911.731621,0,0,22.7
1,64,1765277912,1765277912.732065,0,0,33.0
1,65,1765277913,1765277913.732509,0,0,27.6
1,66,1765277914,1765277914.732916,0,0,20.7
1,68,1765277915,1765277915.7337785,0,1,30.5
1,69,1765277916,1765277916.7339356,0,0,22.6
1,70,1765277917,1765277917.734435,0,0,34.4
1,72,1765277919,1765277919.7356582,0,1,23.1
