device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,data_value
1,1,1762090119,1762090119.561424,0,0,20.0
1,2,1762090120,1762090120.562576,0,0,24.0
1,3,1762090121,1762090121.5619574,0,0,33.1
1,4,1762090122,1762090122.56228,0,0,29.8
1,5,1762090123,1762090123.5617545,0,0,25.5
1,6,1762090124,1762090124.562133,0,0,21.5
1,8,1762090126,1762090126.5625713,0,1,30.6
1,9,1762090127,1762090127.5618799,0,0,31.8
1,10,1762090128,1762090128.5621576,0,0,26.8
1,11,1762090129,1762090129.5614753,0,0,21.0
1,11,1762090129,1762090130.5618498,1,0,21.0
1,12,1762090130,1762090130.562049,0,0,24.3
1,14,1762090132,1762090132.5624816,0,1,26.0
1,14,1762090132,1762090133.5622616,1,0,26.0
1,15,1762090133,1762090133.5624545,0,0,24.6
1,16,1762090134,1762090134.5621326,0,0,29.8
1,17,1762090135,1762090135.5621142,0,0,22.4
1,18,1762090136,1762090136.5618565,0,0,29.6
1,20,1762090138,1762090138.5623114,0,1,26.8
